fips_cod,county,total,dem,gop,other,dem_prop,gop_prop,other_prop,state,state_name
26041,Delta County,18467,6431,11112,924,0.34824281150159747,0.6017219905777874,0.05003519792061515,MI,Michigan
48295,Lipscomb County,1322,135,1159,28,0.1021180030257186,0.8767019667170953,0.02118003025718608,TX,Texas
01127,Walker County,29243,4486,24208,549,0.15340423349177582,0.8278220428820573,0.018773723626166947,AL,Alabama
48389,Reeves County,3184,1659,1417,108,0.5210427135678392,0.44503768844221103,0.03391959798994975,TX,Texas
56017,Hot Springs County,2535,400,1939,196,0.15779092702169625,0.7648915187376726,0.07731755424063116,WY,Wyoming
20043,Doniphan County,3366,584,2601,181,0.17349970291146763,0.7727272727272727,0.05377302436125966,KS,Kansas
37183,Wake County,510940,298353,193607,18980,0.5839296199162328,0.3789231612322386,0.03714721885152856,NC,North Carolina
37147,Pitt County,78264,40967,35191,2106,0.5234462843708474,0.44964479198609836,0.026908923643054278,NC,North Carolina
48497,Wise County,24661,3412,20655,594,0.13835610883581365,0.8375572766716678,0.024086614492518553,TX,Texas
21207,Russell County,8171,1093,6863,215,0.13376575694529433,0.8399216742136826,0.02631256884102313,KY,Kentucky
05053,Grant County,6855,1407,5160,288,0.20525164113785557,0.7527352297592997,0.04201312910284464,AR,Arkansas
31147,Richardson County,3666,798,2684,184,0.2176759410801964,0.7321331151118385,0.050190943807965085,NE,Nebraska
47123,Monroe County,17050,3184,13361,505,0.1867448680351906,0.7836363636363637,0.029618768328445746,TN,Tennessee
36059,Nassau County,599649,307326,275479,16844,0.5125098182436726,0.459400415909974,0.028089765846353452,NY,New York
01011,Bullock County,4701,3530,1139,32,0.7509040629653265,0.24228887470750904,0.006807062327164433,AL,Alabama
42057,Fulton County,6743,904,5676,163,0.13406495625092688,0.8417618270799347,0.024173216669138367,PA,Pennsylvania
20031,Coffey County,3962,719,2990,253,0.18147400302877334,0.7546693589096416,0.06385663806158506,KS,Kansas
31151,Saline County,4795,1630,2849,316,0.33993743482794575,0.5941605839416059,0.06590198123044838,NE,Nebraska
31035,Clay County,2973,470,2373,130,0.1580894719138917,0.798183652875883,0.04372687521022536,NE,Nebraska
28033,DeSoto County,64022,19892,42155,1975,0.31070569491737215,0.658445534347568,0.030848770735059823,MS,Mississippi
22061,Lincoln Parish,18664,7102,10761,801,0.3805186455207887,0.5765645092156022,0.04291684526360909,LA,Louisiana
40129,Roger Mills County,1758,151,1546,61,0.08589306029579068,0.8794084186575654,0.034698521046643914,OK,Oklahoma
22057,Lafourche Parish,41644,8423,31958,1263,0.20226203054461628,0.7674094707520891,0.03032849870329459,LA,Louisiana
40135,Sequoyah County,14437,3061,10888,488,0.2120246588626446,0.7541733047031932,0.03380203643416222,OK,Oklahoma
51153,Prince William County,144854,83093,54065,7696,0.5736327612630648,0.37323788090076904,0.05312935783616607,VA,Virginia
23031,York County,113962,55828,50388,7746,0.48988259244309507,0.44214738246082025,0.06797002509608466,ME,Maine
23015,Lincoln County,21432,10241,9727,1464,0.4778368794326241,0.4538540500186637,0.0683090705487122,ME,Maine
47025,Claiborne County,10706,1831,8589,286,0.17102559312535026,0.8022604147207174,0.026713992153932373,TN,Tennessee
29063,DeKalb County,4590,824,3540,226,0.17952069716775598,0.7712418300653595,0.04923747276688453,MO,Missouri
42045,Delaware County,284832,169169,106559,9104,0.5939255420739242,0.37411175710594313,0.03196270082013257,PA,Pennsylvania
12119,Sumter County,76649,22631,52722,1296,0.2952549935419901,0.6878367623843755,0.01690824407363436,FL,Florida
36055,Monroe County,320164,174063,128871,17230,0.543668245024425,0.40251558576229685,0.0538161692132782,NY,New York
18045,Fountain County,7474,1476,5661,337,0.1974846133261975,0.7574257425742574,0.04508964409954509,IN,Indiana
39063,Hancock County,35216,9419,23777,2020,0.26746365288505225,0.6751760563380281,0.05736029077691958,OH,Ohio
34009,Cape May County,48375,18626,28237,1512,0.38503359173126617,0.5837105943152455,0.03125581395348837,NJ,New Jersey
28047,Harrison County,62076,20679,39710,1687,0.33312391262323604,0.6396997229202912,0.027176364456472712,MS,Mississippi
05141,Van Buren County,7111,1547,5382,182,0.21755027422303475,0.7568555758683729,0.025594149908592323,AR,Arkansas
48343,Morris County,4964,1425,3443,96,0.2870668815471394,0.693593875906527,0.019339242546333603,TX,Texas
30073,Pondera County,2692,737,1786,169,0.27377414561664193,0.663447251114413,0.06277860326894502,MT,Montana
47181,Wayne County,5842,717,5034,91,0.12273194111605615,0.8616912016432728,0.015576857240671003,TN,Tennessee
48153,Floyd County,1958,435,1473,50,0.22216547497446373,0.7522982635342186,0.02553626149131767,TX,Texas
46119,Sully County,861,137,679,45,0.15911730545876887,0.7886178861788617,0.05226480836236934,SD,South Dakota
19097,Jackson County,10204,3837,5821,546,0.37602900823206586,0.5704625637005096,0.05350842806742454,IA,Iowa
28087,Lowndes County,25139,11545,13124,470,0.45924658896535264,0.5220573610724373,0.018696049962210113,MS,Mississippi
17155,Putnam County,3076,1143,1762,171,0.3715864759427828,0.5728218465539662,0.055591677503250975,IL,Illinois
