date,max_temp,min_temp,avg_temp,precipitation,snowfall,snow_depth,location,latitude,longitude
1/1/14,34,24,29,0,0,0,JFK,40.64749,-73.7799821
1/2/14,33,19,26,0.13,2.4,0,JFK,40.64749,-73.7799821
1/3/14,19,9,14,0.22,5.5,7,JFK,40.64749,-73.7799821
1/4/14,31,3,17,0,0,7,JFK,40.64749,-73.7799821
1/5/14,49,23,36,0.1, ,6,JFK,40.64749,-73.7799821
1/6/14,53,20,36.5,0.41, ,1,JFK,40.64749,-73.7799821
1/7/14,20,6,13,0,0,0,JFK,40.64749,-73.7799821
1/8/14,24,10,17,0,0,0,JFK,40.64749,-73.7799821
1/9/14,34,22,28,0,0,0,JFK,40.64749,-73.7799821
1/10/14,38,24,31,0.19,0.1,0,JFK,40.64749,-73.7799821
1/11/14,54,38,46,0.72,0,0,JFK,40.64749,-73.7799821
1/12/14,52,33,42.5, ,0,0,JFK,40.64749,-73.7799821
1/13/14,50,30,40,0,0,0,JFK,40.64749,-73.7799821
1/14/14,48,43,45.5,0.55,0,0,JFK,40.64749,-73.7799821
1/15/14,44,32,38, ,0,0,JFK,40.64749,-73.7799821
1/16/14,42,35,38.5,0,0,0,JFK,40.64749,-73.7799821
1/17/14,45,28,36.5,0,0,0,JFK,40.64749,-73.7799821
1/18/14,42,28,35,0.24,0.1,0,JFK,40.64749,-73.7799821
1/19/14,38,26,32,0,0,0,JFK,40.64749,-73.7799821
1/20/14,48,33,40.5, , ,0,JFK,40.64749,-73.7799821
1/21/14,33,13,23,0.35,6.8,0,JFK,40.64749,-73.7799821
1/22/14,18,7,12.5,0.01,0.3,7,JFK,40.64749,-73.7799821
1/23/14,21,8,14.5,0,0,7,JFK,40.64749,-73.7799821
1/24/14,20,11,15.5,0,0,6,JFK,40.64749,-73.7799821
1/25/14,30,20,25,0.04,0.8,5,JFK,40.64749,-73.7799821
1/26/14,36,18,27, , ,5,JFK,40.64749,-73.7799821
1/27/14,45,22,33.5,0,0,4,JFK,40.64749,-73.7799821
1/28/14,22,14,18, , ,1,JFK,40.64749,-73.7799821
1/29/14,24,16,20,0.05,1,2,JFK,40.64749,-73.7799821
1/30/14,28,14,21,0,0,1,JFK,40.64749,-73.7799821
1/31/14,43,25,34,0,0, ,JFK,40.64749,-73.7799821
2/1/14,43,30,36.5,0,0, ,JFK,40.64749,-73.7799821
2/2/14,52,30,41, ,0, ,JFK,40.64749,-73.7799821
2/3/14,44,28,36,1.08,6.7, ,JFK,40.64749,-73.7799821
