date,avg_temp,precipitation
2014-01-01,29,0
2014-01-02,26,0.13
2014-01-03,14,0.22
2014-01-04,17,0
2014-01-05,36,0.1
2014-01-06,36.5,0.41
2014-01-07,13,0
2014-01-08,17,0
2014-01-09,28,0
2014-01-10,31,0.19
2014-01-11,46,0.72
2014-01-12,42.5,NA
2014-01-13,40,0
2014-01-14,45.5,0.55
2014-01-15,38,NA
2014-01-16,38.5,0
2014-01-17,36.5,0
2014-01-18,35,0.24
2014-01-19,32,0
2014-01-20,40.5,NA
2014-01-21,23,0.35
2014-01-22,12.5,0.01
2014-01-23,14.5,0
2014-01-24,15.5,0
2014-01-25,25,0.04
2014-01-26,27,NA
2014-01-27,33.5,0
2014-01-28,18,NA
2014-01-29,20,0.05
2014-01-30,21,0
2014-01-31,34,0
2014-02-01,36.5,0
2014-02-02,41,NA
2014-02-03,36,1.08
2014-02-04,28.5,0
2014-02-05,32.5,1.2
2014-02-06,28,0
2014-02-07,28.5,0
2014-02-08,25,0
2014-02-09,25,0.13
2014-02-10,25,0
2014-02-11,20.5,0
2014-02-12,19.5,0
2014-02-13,31,1.27
2014-02-14,36.5,0.13
2014-02-15,32.5,0.11
2014-02-16,26,0
2014-02-17,25.5,0
2014-02-18,33,0.15
2014-02-19,35.5,0.31
2014-02-20,38.5,0.02
2014-02-21,41,0.14
2014-02-22,43.5,0
2014-02-23,45,0
2014-02-24,36.5,0.02
2014-02-25,30.5,0
2014-02-26,26.5,0.03
2014-02-27,25,NA
2014-02-28,18.5,0
2014-03-01,26.5,0
2014-03-02,36.5,NA
2014-03-03,26.5,0.04
2014-03-04,21,0
2014-03-05,32.5,0
2014-03-06,24,0
2014-03-07,31.5,NA
2014-03-08,46,0
2014-03-09,41.5,NA
2014-03-10,43,NA
2014-03-11,51.5,0
2014-03-12,45.5,0.15
2014-03-13,26.5,0
2014-03-14,32,0
2014-03-15,50.5,0.01
2014-03-16,37,0
2014-03-17,29.5,NA
2014-03-18,34,0
2014-03-19,37,0.72
2014-03-20,49,NA
2014-03-21,44,0
2014-03-22,50,0
2014-03-23,37,0
2014-03-24,29,0
2014-03-25,31,NA
2014-03-26,32,NA
2014-03-27,31,0
2014-03-28,43.5,NA
2014-03-29,46.5,2.6
2014-03-30,47.5,0.53
2014-03-31,45,0.21
2014-04-01,47,0
2014-04-02,43,0.03
2014-04-03,51,0.08
2014-04-04,43,0.1
2014-04-05,49,NA
2014-04-06,47,0
2014-04-07,44,0.35
2014-04-08,56.5,0.25
2014-04-09,53.5,0
2014-04-10,45.5,0
2014-04-11,58,NA
2014-04-12,58.5,0
2014-04-13,56,0
2014-04-14,58.5,0
2014-04-15,45,0.65
2014-04-16,40.5,0.08
2014-04-17,41,0
2014-04-18,41,0
2014-04-19,54,0
2014-04-20,48,0
2014-04-21,47.5,0
2014-04-22,53.5,NA
2014-04-23,54,0
2014-04-24,53.5,0
2014-04-25,51,NA
2014-04-26,56.5,0.71
2014-04-27,53.5,0
2014-04-28,55.5,0
2014-04-29,47.5,0.05
2014-04-30,49,4.68
2014-05-01,62,0.24
2014-05-02,60.5,0.01
2014-05-03,57.5,NA
2014-05-04,59.5,NA
2014-05-05,59.5,0
2014-05-06,59.5,0
2014-05-07,57,0
2014-05-08,54.5,0.38
2014-05-09,59.5,0.04
2014-05-10,65.5,0.79
2014-05-11,70,0.02
2014-05-12,66,0
2014-05-13,60.5,0
2014-05-14,57,NA
2014-05-15,65.5,0.14
2014-05-16,63,1.26
2014-05-17,62.5,NA
2014-05-18,60.5,0
2014-05-19,62,0
2014-05-20,67,0
2014-05-21,67.5,0
2014-05-22,60,0.32
2014-05-23,63,0.32
2014-05-24,63.5,0.05
2014-05-25,67,0
2014-05-26,72.5,0
2014-05-27,74,NA
2014-05-28,60,NA
2014-05-29,57,0
2014-05-30,61.5,0.03
2014-05-31,63.5,NA
2014-06-01,64.5,0
2014-06-02,65.5,0
2014-06-03,71,NA
2014-06-04,72.5,NA
2014-06-05,69.5,0.5
2014-06-06,71,0
2014-06-07,70.5,0
2014-06-08,73,0
2014-06-09,65.5,0.95
2014-06-10,72.5,0
2014-06-11,65.5,NA
2014-06-12,68.5,0.01
2014-06-13,74,0.99
2014-06-14,70.5,0
2014-06-15,71,0
2014-06-16,70.5,0
2014-06-17,75,NA
2014-06-18,82.5,0
2014-06-19,72.5,0.05
2014-06-20,74,0
2014-06-21,68.5,0
2014-06-22,69,0
2014-06-23,71.5,0
2014-06-24,72,0
2014-06-25,75.5,0.09
2014-06-26,79.5,0.02
2014-06-27,72,0
2014-06-28,76,0
2014-06-29,72,0
2014-06-30,73.5,0
2014-07-01,77.5,0
2014-07-02,78,0.52
2014-07-03,78,0.35
2014-07-04,71,0.32
2014-07-05,74.5,0
2014-07-06,74.5,0
2014-07-07,76.5,0
2014-07-08,80,NA
2014-07-09,77.5,0.01
2014-07-10,78,0.03
2014-07-11,76,0
2014-07-12,74,0
2014-07-13,74.5,0.06
2014-07-14,76.5,1.87
2014-07-15,75.5,1.03
2014-07-16,76.5,0.01
2014-07-17,74.5,0
2014-07-18,74.5,0
2014-07-19,73.5,0
2014-07-20,73,NA
2014-07-21,74,0
2014-07-22,76,0
2014-07-23,77,0.02
2014-07-24,77.5,0
2014-07-25,75,0
2014-07-26,75,0.09
2014-07-27,77.5,0.01
2014-07-28,76.5,0.51
2014-07-29,71.5,0
2014-07-30,72,0
2014-07-31,73.5,0
2014-08-01,76.5,NA
2014-08-02,70.5,0.4
2014-08-03,72,0.09
2014-08-04,75.5,0
2014-08-05,77.5,0
2014-08-06,78,NA
2014-08-07,76.5,0
2014-08-08,74.5,0
2014-08-09,76,0
2014-08-10,77.5,0
2014-08-11,75.5,0
2014-08-12,76,0.34
2014-08-13,76.5,2.92
2014-08-14,72.5,0
2014-08-15,69,0
2014-08-16,70,0
2014-08-17,75.5,NA
2014-08-18,72.5,0
2014-08-19,72,0
2014-08-20,73,0
2014-08-21,73,0.21
2014-08-22,72.5,0.13
2014-08-23,70,NA
2014-08-24,71.5,0
2014-08-25,75,0
2014-08-26,74.5,0
2014-08-27,76.5,0
2014-08-28,76,0
2014-08-29,70.5,0
2014-08-30,70.5,0
2014-08-31,79,0.14
2014-09-01,80,NA
2014-09-02,83,0
2014-09-03,80,0
2014-09-04,76.5,0
2014-09-05,78,0
2014-09-06,77,0.04
2014-09-07,74,NA
2014-09-08,71.5,0
2014-09-09,69.5,NA
2014-09-10,70.5,0
2014-09-11,77,0
2014-09-12,71,0
2014-09-13,65,0.29
2014-09-14,63,0
2014-09-15,63,0
2014-09-16,63.5,0.26
2014-09-17,64,0
2014-09-18,67.5,0
2014-09-19,61.5,0
2014-09-20,64.5,0.37
2014-09-21,72,0.21
2014-09-22,64,NA
2014-09-23,60,0
2014-09-24,64,0
2014-09-25,62,0.23
2014-09-26,69,0
2014-09-27,73,0
2014-09-28,70,0
2014-09-29,71,NA
2014-09-30,66,0.03
2014-10-01,64.5,NA
2014-10-02,64.5,0
2014-10-03,61.5,0
2014-10-04,62,0.7
2014-10-05,54,0
2014-10-06,57.5,0
2014-10-07,69.5,0.02
2014-10-08,68.5,0.02
2014-10-09,62.5,0
2014-10-10,58,NA
2014-10-11,54.5,0.45
2014-10-12,55.5,0
2014-10-13,56,0.08
2014-10-14,69.5,0
2014-10-15,72,0.01
2014-10-16,65.5,0.78
2014-10-17,66,0
2014-10-18,64.5,0
2014-10-19,51,0
2014-10-20,51.5,0
2014-10-21,60,0.05
2014-10-22,55,1.42
2014-10-23,52.5,0.12
2014-10-24,57,0
2014-10-25,59,0
2014-10-26,59.5,0
2014-10-27,57,0
2014-10-28,59,0
2014-10-29,63,0.03
2014-10-30,53.5,0
2014-10-31,50.5,0.01
2014-11-01,46,1.03
2014-11-02,45.5,NA
2014-11-03,50.5,0
2014-11-04,58.5,0
2014-11-05,58.5,0
2014-11-06,51.5,0.43
2014-11-07,47.5,NA
2014-11-08,42,0
2014-11-09,50.5,0
2014-11-10,48.5,0
2014-11-11,53,0
2014-11-12,55.5,NA
2014-11-13,43.5,0.11
2014-11-14,40.5,0.07
2014-11-15,36.5,0
2014-11-16,38,NA
2014-11-17,47.5,1.37
2014-11-18,35.5,0
2014-11-19,30,0
2014-11-20,40,0
2014-11-21,33,0
2014-11-22,35,0
2014-11-23,49,0
2014-11-24,59.5,0.45
2014-11-25,55,0
2014-11-26,44,1
2014-11-27,37.5,0.02
2014-11-28,34.5,0
2014-11-29,36,0
2014-11-30,49,0
2014-12-01,52,0.07
2014-12-02,41.5,0.09
2014-12-03,45,0.15
2014-12-04,41.5,0
2014-12-05,42.5,0.55
2014-12-06,46.5,1.24
2014-12-07,37.5,0.05
2014-12-08,31.5,NA
2014-12-09,42.5,3.04
2014-12-10,38,0.11
2014-12-11,36,NA
2014-12-12,37,0
2014-12-13,40.5,0
2014-12-14,42,0
2014-12-15,41,0
2014-12-16,41.5,0.3
2014-12-17,49,0.03
2014-12-18,41,0
2014-12-19,36,0
2014-12-20,32.5,0
2014-12-21,35.5,NA
2014-12-22,42.5,0.04
2014-12-23,48.5,0.21
2014-12-24,52,1.05
2014-12-25,49.5,0.06
2014-12-26,44.5,0
2014-12-27,45.5,0
2014-12-28,48,0.05
2014-12-29,40.5,0
2014-12-30,32,0
2014-12-31,31,0
2015-01-01,34,0
2015-01-02,40,0
2015-01-03,38.5,0.94
2015-01-04,49,0.47
2015-01-05,37,0
2015-01-06,21,0.07
2015-01-07,17.5,0
2015-01-08,15,0
2015-01-09,27.5,0.07
2015-01-10,21,0
2015-01-11,29,0
2015-01-12,37,0.7
2015-01-13,28,0
2015-01-14,26,0
2015-01-15,31,0
2015-01-16,32.5,0
2015-01-17,25,0
2015-01-18,37,1.62
2015-01-19,40,NA
2015-01-20,36.5,NA
2015-01-21,32,NA
2015-01-22,36,0
2015-01-23,33.5,NA
2015-01-24,36.5,0.75
2015-01-25,38.5,0
2015-01-26,28,0.33
2015-01-27,23.5,0.31
2015-01-28,25,0
2015-01-29,27,0.01
2015-01-30,28.5,0.04
2015-01-31,20.5,0
2015-02-01,28.5,0.03
2015-02-02,25,1.18
2015-02-03,20,0
2015-02-04,30.5,0
2015-02-05,27,NA
2015-02-06,20,0
2015-02-07,31,NA
2015-02-08,35.5,0
2015-02-09,27.5,0.14
2015-02-10,33,NA
2015-02-11,29,0
2015-02-12,29,NA
2015-02-13,16,0
2015-02-14,25.5,0.01
2015-02-15,16,0.01
2015-02-16,14,0
2015-02-17,21.5,0.19
2015-02-18,23,NA
2015-02-19,18,0
2015-02-20,12,0
2015-02-21,22,0.59
2015-02-22,37.5,0.2
2015-02-23,23.5,0
2015-02-24,17.5,0
2015-02-25,28,0
2015-02-26,27.5,NA
2015-02-27,26,0
2015-02-28,23,0
2015-03-01,26.5,0.51
2015-03-02,33.5,NA
2015-03-03,27.5,0.7
2015-03-04,37,0.3
2015-03-05,31,0.73
2015-03-06,19,0
2015-03-07,26.5,0
2015-03-08,39,NA
2015-03-09,43,0.02
2015-03-10,42,0.49
2015-03-11,51,0.02
2015-03-12,43,0
2015-03-13,35.5,0
2015-03-14,44,1.11
2015-03-15,41.5,0
2015-03-16,43,0
2015-03-17,47,0.02
2015-03-18,35.5,NA
2015-03-19,37,0
2015-03-20,35.5,0.33
2015-03-21,39,0.02
2015-03-22,36.5,0
2015-03-23,32.5,0
2015-03-24,34.5,0
2015-03-25,38,0.12
2015-03-26,47.5,0.25
2015-03-27,44,0.23
2015-03-28,35,NA
2015-03-29,36.5,0
2015-03-30,47,NA
2015-03-31,42.5,0.03
2015-04-01,43.5,0
2015-04-02,45,NA
2015-04-03,52.5,0.11
2015-04-04,50,NA
2015-04-05,51.5,0
2015-04-06,49.5,0
2015-04-07,50.5,0.03
2015-04-08,42.5,0.01
2015-04-09,41,NA
2015-04-10,49,0.19
2015-04-11,53,0
2015-04-12,52,0
2015-04-13,52.5,0
2015-04-14,58,0.04
2015-04-15,61,0
2015-04-16,54,0
2015-04-17,60.5,0.11
2015-04-18,62,0
2015-04-19,54.5,0
2015-04-20,52.5,0.87
2015-04-21,58.5,0.06
2015-04-22,54.5,0.19
2015-04-23,48,NA
2015-04-24,45.5,0
2015-04-25,49,0
2015-04-26,51,0
2015-04-27,56,0
2015-04-28,61,0
2015-04-29,63.5,0
2015-04-30,55.5,0
2015-05-01,51.5,0
2015-05-02,52,0
2015-05-03,56.5,0
2015-05-04,62,0
2015-05-05,68.5,0
2015-05-06,62,NA
2015-05-07,61.5,0
2015-05-08,62.5,0
2015-05-09,61,0.02
2015-05-10,66,0
2015-05-11,69.5,0
2015-05-12,76,0.01
2015-05-13,64,0
2015-05-14,61,0
2015-05-15,62,NA
2015-05-16,64,0.41
2015-05-17,71,NA
2015-05-18,62.5,0
2015-05-19,66,NA
2015-05-20,61.5,0
2015-05-21,57,NA
2015-05-22,66.5,NA
2015-05-23,59.5,0
2015-05-24,63.5,0
2015-05-25,67,0
2015-05-26,68,0
2015-05-27,67.5,NA
2015-05-28,69,0
2015-05-29,71.5,0
2015-05-30,70,0
2015-05-31,71,0.02
2015-06-01,57.5,0.78
2015-06-02,53.5,0.34
2015-06-03,60.5,NA
2015-06-04,61,0
2015-06-05,63,NA
2015-06-06,69,0.2
2015-06-07,63.5,0
2015-06-08,67,0.02
2015-06-09,74.5,NA
2015-06-10,72,0
2015-06-11,76.5,NA
2015-06-12,78,0
2015-06-13,77.5,0
2015-06-14,76,0.31
2015-06-15,73.5,1.09
2015-06-16,72.5,0.08
2015-06-17,73.5,0
2015-06-18,68,NA
2015-06-19,78,NA
2015-06-20,71,0.32
2015-06-21,80.5,0.51
2015-06-22,81.5,0
2015-06-23,80.5,0.02
2015-06-24,77.5,0
2015-06-25,74.5,NA
2015-06-26,75,0
2015-06-27,66.5,1.02
2015-06-28,70,0.3
2015-06-29,71.5,0
2015-06-30,73.5,NA
2015-07-01,78,0.26
2015-07-02,74.5,0.03
2015-07-03,73.5,0
2015-07-04,73.5,0.01
2015-07-05,74,0
2015-07-06,76,0
2015-07-07,79,NA
2015-07-08,81.5,0.53
2015-07-09,74.5,0.32
2015-07-10,79.5,0
2015-07-11,78,0
2015-07-12,78.5,0
2015-07-13,78,0
2015-07-14,76.5,0.13
2015-07-15,77.5,0.04
